RIS_name,mouse_symbol,Product,MGI,mouse_chr,retrovirus,transposon
ND,1600014C10Rik,RIKEN cDNA 1600014C10 gene,MGI:1919494,chr7,1,0
ND,1600015I10Rik,RIKEN cDNA 1600015I10 gene,MGI:1917011,chr6,0,1
ND,1700001O22Rik,RIKEN cDNA 1700001O22 gene,MGI:1923631,chr2,1,0
ND,1700008G05Rik,RIKEN cDNA 1700008G05 gene,MGI:1922747,chr3,1,0
ND,1700010C24Rik,RIKEN cDNA 1700010C24 gene,MGI:1917613,chr15,0,1
ND,1700010I14Rik,RIKEN cDNA 1700010I14 gene,MGI:1914181,chr17,1,0
ND,1700016K19Rik,RIKEN cDNA 1700016K19 gene,MGI:1921480,chr11,2,0
ND,1700018L24Rik,RIKEN cDNA 1700018L24 gene,MGI:1922778,chr8,3,0
ND,1700019D03Rik,RIKEN cDNA 1700019D03 gene,MGI:1914330,chr1,0,1
ND,1700019E19Rik,RIKEN cDNA 1700019E19 gene,MGI:1923661,chr12,1,0
ND,1700020C11Rik,RIKEN cDNA 1700020C11 gene,MGI:1916686,chr11,1,0
ND,1700021C14Rik,RIKEN cDNA 1700021C14 gene,MGI:1924177,chr3,1,0
ND,1700021K19Rik,RIKEN cDNA 1700021K19 gene,MGI:1915160,chr16,0,1
ND,1700025D03Rik,RIKEN cDNA 1700025D03 gene,MGI:1915194,chrX,0,1
ND,1700025G04Rik,RIKEN cDNA 1700025G04 gene,MGI:1916649,chr1,1,1
ND,1700025K23Rik,RIKEN cDNA 1700025K23 gene,MGI:1913587,chr10,1,0
ND,1700029F12Rik,RIKEN cDNA 1700029F12 gene,MGI:1913729,chr13,2,0
ND,1700029I08Rik,RIKEN cDNA 1700029I08 gene,MGI:1916731,chr17,0,1
ND,1700052N19Rik,RIKEN cDNA 1700052N19 gene,MGI:1920669,chr10,1,0
ND,1700067C01Rik,RIKEN cDNA 1700067C01 gene,MGI:1923968,chr7,0,1
ND,1700074P13Rik,RIKEN cDNA 1700074P13 gene,MGI:1920731,chr6,0,1
ND,1700081L11Rik,RIKEN cDNA 1700081L11 gene,MGI:1923969,chr11,2,0
ND,1700106N22Rik,RIKEN cDNA 1700106N22 gene,MGI:1920832,chr17,0,1
Cri23,1700120B06Rik,RIKEN cDNA 1700120B06 gene,MGI:3588213,chr8,2,0
ND,1810009O10Rik,RIKEN cDNA 1810009O10 gene,MGI:1916359,chr11,1,0
ND,1810011O10Rik,RIKEN cDNA 1810011O10 gene,MGI:1916318,chr8,1,0
ND,1810015C04Rik,RIKEN cDNA 1810015C04 gene,MGI:1913520,chr15,0,1
ND,1810033B17Rik,RIKEN cDNA 1810033B17 gene,MGI:1916439,chr8,0,1
ND,1810044A24Rik,RIKEN cDNA 1810044A24 gene,MGI:1923760,chr15,0,3
ND,1810046J19Rik,RIKEN cDNA 1810046J19 gene,MGI:1913678,chr11,1,0
ND,1810049H13Rik,RIKEN cDNA 1810049H13 gene,MGI:1913681,chr11,1,0
ND,1810054D07Rik,RIKEN cDNA 1810054D07 gene,MGI:1917113,chr4,1,0
ND,1810054D07Rik ,"RIKEN cDNA 1810054D07 gene",MGI:1917113 ,chr4,0,2
ND,Snapc3,"small nuclear RNA activating complex, polypeptide 3",MGI:1916338,chr4,0,2
ND,1810055E12Rik,RIKEN cDNA 1810055E12 gene,MGI:1915144,chr19,1,0
ND,1810063B05Rik,RIKEN cDNA 1810063B05 gene,MGI:1915142,chr8,2,0
ND,2010001M09Rik,RIKEN cDNA 2010001M09 gene,MGI:1917066,chr18,1,0
ND,2010002N04Rik,RIKEN cDNA 2010002N04 gene,MGI:1917088,chr18,1,0
ND,2010003H20Rik,RIKEN cDNA 2010003H20 gene,MGI:1919309,chr2,0,1
ND,2010007H12Rik,RIKEN cDNA 2010007H12 gene,MGI:1922853,chr5,1,0
ND,2010012O05Rik,RIKEN cDNA 2010012O05 gene,MGI:1913689,chr19,1,0
NKI-13,2010015L04Rik,RIKEN cDNA 2010015L04 gene,MGI:1917130,chr4,1,0
ND,2010109I03Rik,RIKEN cDNA 2010109I03 gene,MGI:1914288,chr15,1,0
Evi109,2010305C02Rik,RIKEN cDNA 2010305C02 gene,MGI:1917141,chr11,1,0
ND,2010317E24Rik,RIKEN cDNA 2010317E24 gene,MGI:1919330,chr2,1,0
ND,2210010C04Rik,RIKEN cDNA 2210010C04 gene,MGI:1914623,chr6,2,0
ND,2210010L05Rik,RIKEN cDNA 2210010L05 gene,MGI:1922925,chr1,0,2
ND,2210018M11Rik,RIKEN cDNA 2210018M11 gene,MGI:1924203,chr7,1,0
ND,2210412D01Rik,RIKEN cDNA 2210412D01 gene,MGI:1917428,chr7,1,0
ND,2310004I24Rik,RIKEN cDNA 2310004I24 gene,MGI:1913608,chr11,1,0
ND,2310007H09Rik,RIKEN cDNA 2310007H09 gene,MGI:1923679,chr7,1,0
ND,2310008H04Rik,RIKEN cDNA 2310008H04 gene,MGI:1924834,chr16,1,0
ND,2310009E04Rik,RIKEN cDNA 2310009E04 gene,MGI:1922828,chr4,1,3
ND,2310010M24Rik,RIKEN cDNA 2310010M24 gene,MGI:1919147,chr2,0,1
ND,2310022A10Rik,RIKEN cDNA 2310022A10 gene,MGI:1913617,chr7,1,0
ND,2310022M17Rik,RIKEN cDNA 2310022M17 gene,MGI:1916806,chr11,1,0
ND,2310028H24Rik,RIKEN cDNA 2310028H24 gene,MGI:1919151,chr4,0,1
ND,2310033P09Rik,RIKEN cDNA 2310033P09 gene,MGI:1915112,chr11,1,0
ND,2310035C23Rik,RIKEN cDNA 2310035C23 gene,MGI:1922832,chr1,0,1
Evi76,2310038H17Rik,RIKEN cDNA 2310038H17 gene,MGI:1914349,chr1,2,0
ND,2310039H08Rik,RIKEN cDNA 2310039H08 gene,MGI:1914351,chr17,2,0
ND,2310044G17Rik,RIKEN cDNA 2310044G17 gene,MGI:1919185,chr12,1,0
ND,2310044H10Rik,RIKEN cDNA 2310044H10 gene,MGI:1916933,chr7,1,0
ND,2310057M21Rik,RIKEN cDNA 2310057M21 gene,MGI:1915527,chr7,1,0
ND,2310066E14Rik,RIKEN cDNA 2310066E14 gene,MGI:1922937,chr8,3,0
ND,2410017P07Rik,RIKEN cDNA 2410017P07 gene,MGI:1915511,chr10,2,0
ND,2410018C20Rik,RIKEN cDNA 2410018C20 gene,MGI:1915123,chr8,1,0
ND,2410116G06Rik,RIKEN cDNA 2410116G06 gene,MGI:1915486,chr2,1,0
ND,2410129H14Rik,RIKEN cDNA 2410129H14 gene,MGI:1924039,chr14,1,0
ND,2410131K14Rik,RIKEN cDNA 2410131K14 gene,MGI:1924042,chr5,1,0
ND,2410166I05Rik,RIKEN cDNA 2410166I05 gene,MGI:1924074,chr4,0,1
ND,2510003E04Rik,RIKEN cDNA 2510003E04 gene,MGI:1919570,chr10,1,0
ND,2610002J02Rik,RIKEN cDNA 2610002J02 gene,MGI:1914763,chr4,1,0
ND,2610018G03Rik,RIKEN cDNA 2610018G03 gene,MGI:1917665,chrX,0,1
ND,2610018I03Rik,RIKEN cDNA 2610018I03 gene,MGI:1917598,chr9,1,0
ND,2610020H08Rik,RIKEN cDNA 2610020H08 gene,MGI:1919402,chr7,1,0
ND,2610021K21Rik,RIKEN cDNA 2610021K21 gene,MGI:1926017,chr12,2,0
ND,2610028A01Rik,RIKEN cDNA 2610028A01 gene,MGI:1919650,chr14,0,1
ND,2610036L11Rik,RIKEN cDNA 2610036L11 gene,MGI:1913561,chr10,0,1
ND,2610039C10Rik,RIKEN cDNA 2610039C10 gene,MGI:1913828,chr16,1,0
ND,2610207I05Rik,RIKEN cDNA 2610207I05 gene,MGI:1919742,chr7,1,0
ND,2610301B20Rik,RIKEN cDNA 2610301B20 gene,MGI:1914407,chr4,1,2
ND,2610305D13Rik,RIKEN cDNA 2610305D13 gene,MGI:2148252,chr4,0,1
ND,2610528E23Rik,RIKEN cDNA 2610528E23 gene,MGI:1913747,chr16,0,2
ND,2610528K11Rik,RIKEN cDNA 2610528K11 gene,MGI:1919793,chr2,2,0
ND,2610529C04Rik,RIKEN cDNA 2610529C04 gene,MGI:1914325,chrX,1,0
ND,2700081O15Rik,RIKEN cDNA 2700081O15 gene,MGI:1919667,chr19,1,0
ND,2700094F01Rik,RIKEN cDNA 2700094F01 gene,MGI:1919899,chr6,1,0
ND,2700097O09Rik,RIKEN cDNA 2700097O09 gene,MGI:1919908,chr12,1,0
ND,2810003C17Rik,RIKEN cDNA 2810003C17 gene,MGI:1919598,chr2,1,0
ND,2810046L04Rik,RIKEN cDNA 2810046L04 gene,MGI:1919933,chr3,1,0
ND,2810403A07Rik,RIKEN cDNA 2810403A07 gene,MGI:1921450,chr3,1,0
ND,2810410M20Rik,RIKEN cDNA 2810410M20 gene,MGI:1913560,chr17,1,0
ND,2810432D09Rik,RIKEN cDNA 2810432D09 gene,MGI:1917211,chr4,1,0
ND,2810451A06Rik,RIKEN cDNA 2810451A06 gene,MGI:1920028,chr15,1,0
ND,2810457I06Rik,RIKEN cDNA 2810457I06 gene,MGI:1920078,chr9,0,1
ND,2900024C23Rik,RIKEN cDNA 2900024C23 gene,MGI:1914516,chr5,3,0
ND,2900024O10Rik,RIKEN cDNA 2900024O10 gene,MGI:1920102,chr13,1,0
ND,2900026A02Rik,RIKEN cDNA 2900026A02 gene,MGI:1920194,chr5,1,0
ND,3100004P22Rik,RIKEN cDNA 3100004P22 gene,MGI:1915285,chr7,1,0
ND,3110001A13Rik,RIKEN cDNA 3110001A13 gene,MGI:1913790,chr2,2,0
ND,3110001D03Rik,RIKEN cDNA 3110001D03 gene,MGI:1914178,chr4,1,0
ND,3110004L20Rik,RIKEN cDNA 3110004L20 gene,MGI:1920352,chr13,2,1
ND,3110007F17Rik,RIKEN cDNA 3110007F17 gene,MGI:1920311,chrX,1,0
3110045G13Rik,3110045G13Rik,RIKEN cDNA 3110045G13 gene,MGI:1920432,chr3,2,0
3110049J23Rik,3110049J23Rik,RIKEN cDNA 3110049J23 gene,MGI:1914557,chr10,2,0
Btl51,3110056O03Rik,RIKEN cDNA 3110056O03 gene,MGI:1920468,chr10,2,0
ND,3110057O12Rik,RIKEN cDNA 3110057O12 gene,MGI:1915468,chr3,1,0
ND,3110082I17Rik,RIKEN cDNA 3110082I17 gene,MGI:1920462,chr5,1,0
ND,3300002I08Rik,RIKEN cDNA 3300002I08 gene,MGI:1916527,chr2,1,0
Dkmi14,3930402G23Rik,RIKEN cDNA 3930402G23 gene,MGI:1921277,chr8,2,0
ND,4631426J05Rik,RIKEN cDNA 4631426J05 gene,MGI:1924840,chr7,1,1
ND,4631427C17Rik,RIKEN cDNA 4631427C17 gene,MGI:1921590,chr6,0,1
ND,4632411B12Rik,RIKEN cDNA 4632411B12 gene,MGI:1918055,chr1,0,1
ND,4632411J06Rik,RIKEN cDNA 4632411J06 gene,MGI:1925998,chr7,0,1
ND,4632415K11Rik,RIKEN cDNA 4632415K11 gene,MGI:1921597,chr8,1,0
ND,4632434I11Rik,RIKEN cDNA 4632434I11 gene,MGI:1921291,chr7,1,0
ND,4732418C07Rik,RIKEN cDNA 4732418C07 gene,MGI:2442397,chr4,0,1
ND,4732435N03Rik,RIKEN cDNA 4732435N03 gene,MGI:2442354,chr8,1,0
ND,4732495G21Rik,RIKEN cDNA 4732495G21 gene,MGI:2444552,chr13,1,0
ND,4732496O08Rik,RIKEN cDNA 4732496O08 gene,MGI:2140473,chr4,0,1
Evi151,4831426I19Rik,RIKEN cDNA 4831426I19 gene,MGI:2442408,chr12,4,0
ND,4832428D23Rik,RIKEN cDNA 4832428D23 gene,MGI:2685837,chr1,1,0
ND,4833413O15Rik,RIKEN cDNA 4833413O15 gene,MGI:2685269,chr4,0,1
ND,4833427G06Rik,RIKEN cDNA 4833427G06 gene,MGI:1921013,chr9,1,0
ND,4921505C17Rik,RIKEN cDNA 4921505C17 gene,MGI:1926007,chr15,1,0
ND,4921506J03Rik,RIKEN cDNA 4921506J03 gene,MGI:1914971,chr10,2,1
ND,4921513D23Rik,RIKEN cDNA 4921513D23 gene,MGI:2444505,chr16,1,0
ND,4921528I01Rik,RIKEN cDNA 4921528I01 gene,MGI:1918200,chr18,0,1
ND,4921533L14Rik,RIKEN cDNA 4921533L14 gene,MGI:1915437,chr1,1,0
ND,4930418G15Rik,RIKEN cDNA 4930418G15 gene,MGI:1921138,chr1,1,0
ND,4930428D18Rik,RIKEN cDNA 4930428D18 gene,MGI:3588232,chrX,1,0
ND,4930432O21Rik,RIKEN cDNA 4930432O21 gene,MGI:1921920,chr17,1,0
ND,4930453N24Rik,RIKEN cDNA 4930453N24 gene,MGI:1914859,chr16,1,0
ND,4930458L03Rik,RIKEN cDNA 4930458L03 gene,MGI:1925374,chr13,0,2
ND,4930473A06Rik,RIKEN cDNA 4930473A06 gene,MGI:1922152,chr4,0,2
ND,4930474N05Rik,RIKEN cDNA 4930474N05 gene,MGI:3586330,chr14,2,1
ND,4930503B20Rik,RIKEN cDNA 4930503B20 gene,MGI:1922264,chr3,1,0
ND,4930504E06Rik,RIKEN cDNA 4930504E06 gene,MGI:1922257,chr3,1,0
ND,4930506M07Rik,RIKEN cDNA 4930506M07 gene,MGI:1918903,chr19,0,1
ND,4930507C10Rik,RIKEN cDNA 4930507C10 gene,MGI:1926022,chr1_random,3,0
ND,4930511I11Rik,RIKEN cDNA 4930511I11 gene,MGI:1914895,chr17,3,0
ND,4930519F16Rik,RIKEN cDNA 4930519F16 gene,MGI:1922356,chrX,1,0
ND,4930522H14Rik,RIKEN cDNA 4930522H14 gene,MGI:1914896,chr4,0,1
ND,4930523C11Rik,RIKEN cDNA 4930523C11 gene,MGI:2444636,chr12,2,0
ND,4930544G21Rik,RIKEN cDNA 4930544G21 gene,MGI:1924879,chr1,0,1
ND,4931406C07Rik,RIKEN cDNA 4931406C07 gene,MGI:1918234,chr9,1,0
4931406I20Rik,4931406I20Rik,RIKEN cDNA 4931406I20 gene,MGI:1913993,chr4,3,0
ND,4931406P16Rik,RIKEN cDNA 4931406P16 gene,MGI:1924311,chr7,0,1
ND,4931408C20Rik,RIKEN cDNA 4931408C20 gene,MGI:3588222,chr1,0,1
ND,4931414P19Rik,RIKEN cDNA 4931414P19 gene,MGI:1921609,chr14,1,0
ND,4931417E11Rik,RIKEN cDNA 4931417E11 gene,MGI:1913990,chr6,0,2
ND,4931433A01Rik,RIKEN cDNA 4931433A01 gene,MGI:1918244,chr4,0,1
ND,4932413O14Rik,RIKEN cDNA 4932413O14 gene,MGI:2444555,chr5,1,0
ND,4932417H02Rik,RIKEN cDNA 4932417H02 gene,MGI:1921620,chr11,1,0
ND,4932417I16Rik,RIKEN cDNA 4932417I16 gene,MGI:2685024,chr8,1,0
ND,4932441B19Rik,RIKEN cDNA 4932441B19 gene,MGI:3588241,chr13,0,3
ND,4933400E14Rik,RIKEN cDNA 4933400E14 gene,MGI:1918257,chr7,0,1
Cri29,4933406E20Rik,RIKEN cDNA 4933406E20 gene,MGI:1921693,chr9,1,0
ND,4933412E14Rik,RIKEN cDNA 4933412E14 gene,MGI:2441692,chr9,1,0
ND,4933417A18Rik,RIKEN cDNA 4933417A18 gene,MGI:1914011,chr13,0,1
ND,4933421I07Rik,RIKEN cDNA 4933421I07 gene,MGI:1918412,chr7,1,0
ND,4933433P14Rik,RIKEN cDNA 4933433P14 gene,MGI:1914037,chr12,1,0
ND,4933436I01Rik,RIKEN cDNA 4933436I01 gene,MGI:1914030,chrX,1,0
ND,4933437K13Rik,RIKEN cDNA 4933437K13 gene,MGI:1921728,chr16,4,1
ND,5033411D12Rik,RIKEN cDNA 5033411D12 gene,MGI:1923221,chr13,0,1
ND,5033413D22Rik,RIKEN cDNA 5033413D22 gene,MGI:1923223,chr10,2,0
Evi131,5133401N09Rik,RIKEN cDNA 5133401N09 gene,MGI:1922981,chr13,5,0
Btl61,5330416C01Rik,RIKEN cDNA 5330416C01 gene,MGI:2685378,chr13,2,0
ND,5330421F07Rik,RIKEN cDNA 5330421F07 gene,MGI:1925536,chr7,5,0
ND,5430407P10Rik,RIKEN cDNA 5430407P10 gene,MGI:2442238,chr2,1,0
ND,5430420C16Rik,RIKEN cDNA 5430420C16 gene,MGI:1918588,chr16,1,0
ND,5430432M24Rik,RIKEN cDNA 5430432M24 gene,MGI:1921097,chr2,2,0
ND,5430433E21Rik,RIKEN cDNA 5430433E21 gene,MGI:1921742,chr9,1,0
ND,5430435G22Rik,RIKEN cDNA 5430435G22 gene,MGI:2442295,chr1,0,1
ND,5730409G15Rik,RIKEN cDNA 5730409G15 gene,MGI:1917761,chr16,1,0
ND,5730419I09Rik,RIKEN cDNA 5730419I09 gene,MGI:1921991,chr6,4,0
ND,5730509K17Rik,RIKEN cDNA 5730509K17 gene,MGI:1924487,chr5,1,0
ND,5730557B15Rik,RIKEN cDNA 5730557B15 gene,MGI:1917904,chr15,1,0
ND,5730559C18Rik,RIKEN cDNA 5730559C18 gene,MGI:1921579,chr1,0,1
Evi110,5730593F17Rik,RIKEN cDNA 5730593F17 gene,MGI:2144564,chr11,3,0
ND,5830403L16Rik,RIKEN cDNA 5830403L16 gene,MGI:1923273,chr1,1,0
ND,5830404H04Rik,RIKEN cDNA 5830404H04 gene,MGI:1922009,chr16,1,0
ND,5830434P21Rik,RIKEN cDNA 5830434P21 gene,MGI:1923304,chr2,1,0
ND,5830482F20Rik,RIKEN cDNA 5830482F20 gene,MGI:2444024,chr7,1,0
ND,6230409E13Rik,RIKEN cDNA 6230409E13 gene,MGI:1923382,chr4,0,1
ND,6330403A02Rik,RIKEN cDNA 6330403A02 gene,MGI:2138735,chr1,1,0
ND,6330406I15Rik,RIKEN cDNA 6330406I15 gene,MGI:1917967,chr5,2,0
ND,6330416G13Rik,RIKEN cDNA 6330416G13 gene,MGI:1913920,chr4,1,0
ND,6330500D04Rik,RIKEN cDNA 6330500D04 gene,MGI:2444879,chr13,2,0
ND,6330505N24Rik,RIKEN cDNA 6330505N24 gene,MGI:2684972,chr3,0,2
ND,6330512M04Rik,RIKEN cDNA 6330512M04 gene,MGI:2444776,chr7,1,1
ND,6330534C20Rik,RIKEN cDNA 6330534C20 gene,MGI:3588225,chrX,1,0
ND,6330548G22Rik,RIKEN cDNA 6330548G22 gene,MGI:1923417,chr5,1,0
ND,6332401O19Rik,RIKEN cDNA 6332401O19 gene,MGI:2442812,chr6,0,1
ND,6430526N21Rik,RIKEN cDNA 6430526N21 gene,MGI:2442656,chr7,1,0
ND,6430527G18Rik,RIKEN cDNA 6430527G18 gene,MGI:2442463,chr12,6,0
ND,6430537H07Rik,RIKEN cDNA 6430537H07 gene,MGI:2441717,chr19,1,0
Btl36,6530418L21Rik ,RIKEN cDNA 6530418L21 gene,MGI:1923497 ,chr3,2,0
Btl36, Rap1a,RAS-related protein-1a,MGI:97852,chr3,2,0
ND,6720456H20Rik,RIKEN cDNA 6720456H20 gene,MGI:2443219,chr14,1,0
ND,8230402K04Rik,RIKEN cDNA 8230402K04 gene,MGI:3045310,chr15,0,1
ND,8430427H17Rik,RIKEN cDNA 8430427H17 gene,MGI:1918765,chr2,2,0
ND,9030025P20Rik,RIKEN cDNA 9030025P20 gene,MGI:3583895,chr17,1,0
ND,9030409G11Rik,RIKEN cDNA 9030409G11 gene,MGI:1918779,chr4,1,0
ND,9030425E11Rik,RIKEN cDNA 9030425E11 gene,MGI:1918816,chr9,3,0
ND,9030611O19Rik,RIKEN cDNA 9030611O19 gene,MGI:1918813,chr12,2,0
ND,9130011E15Rik,RIKEN cDNA 9130011E15 gene,MGI:1918867,chr19,1,0
ND,9130017C17Rik,RIKEN cDNA 9130017C17 gene,MGI:1918857,chr8,1,0
ND,9130404D08Rik,RIKEN cDNA 9130404D08 gene,MGI:1921799,chr8,0,1
ND,9330128J19Rik,RIKEN cDNA 9330128J19 gene,MGI:2444730,chr13,1,0
ND,9330134C04Rik,RIKEN cDNA 9330134C04 gene,MGI:3689365,chr13,1,0
ND,9430022F06Rik,RIKEN cDNA 9430022F06 gene,MGI:2444990,chr18,0,1
ND,9430023L20Rik,RIKEN cDNA 9430023L20 gene,MGI:1915368,chr15,2,0
ND,9430067K14Rik,RIKEN cDNA 9430067K14 gene,MGI:2443627,chr1,2,0
ND,9430070O13Rik,RIKEN cDNA 9430070O13 gene,MGI:1924602,chr1,1,0
ND,9530008L14Rik,RIKEN cDNA 9530008L14 gene,MGI:1924596,chr13,1,0
ND,9830102E05Rik,RIKEN cDNA 9830102E05 gene,MGI:3607714,chr6,0,1
ND,9830134C10Rik,RIKEN cDNA 9830134C10 gene,MGI:3045302,chr17,1,0
ND,9930021J17Rik,RIKEN cDNA 9930021J17 gene,MGI:2444746,chr3,0,1
ND,9930039A11Rik,RIKEN cDNA 9930039A11 gene,MGI:2443227,chr11,1,0
ND,a,nonagouti,MGI:87853,chr2,2,0
ND,A130042E20Rik,RIKEN cDNA A130042E20 gene,MGI:2656825,chr10,1,0
ND,A230046K03Rik,RIKEN cDNA A230046K03 gene,MGI:2441787,chr10,0,1
ND,A230054D04Rik,RIKEN cDNA A230054D04 gene,MGI:2444804,chr5,1,0
ND,A230097K15Rik,RIKEN cDNA A230097K15 gene,MGI:3603816,chr5,1,1
ND,A2bp1,ataxin 2 binding protein 1,MGI:1926224,chr16,0,1
ND,A430005L14Rik,RIKEN cDNA A430005L14 gene,MGI:2140680,chr4,1,0
ND,A430078G23Rik,RIKEN cDNA A430078G23 gene,MGI:2442135,chr8,1,0
ND,A430084P05Rik,RIKEN cDNA A430084P05 gene,MGI:3610314,chr11,1,0
ND,A430105I19Rik,RIKEN cDNA A430105I19 gene,MGI:2685199,chr2,2,0
ND,A430107O13Rik,RIKEN cDNA A430107O13 gene,MGI:2444814,chr6,1,0
ND,A530098C11Rik,RIKEN cDNA A530098C11 gene,MGI:3611450,chr1,0,1
ND,A630007B06Rik,RIKEN cDNA A630007B06 gene,MGI:2445022,chr19,0,1
ND,A630033H20Rik,RIKEN cDNA A630033H20 gene,MGI:2441814,chrX,1,0
ND,A630042L21Rik,RIKEN cDNA A630042L21 gene,MGI:2441817,chr18,1,0
ND,A630047E20Rik,RIKEN cDNA A630047E20 gene,MGI:2445052,chr3,1,0
ND,A630054L15Rik,RIKEN cDNA A630054L15 gene,MGI:2442980,chr14,3,0
ND,A630077B13Rik,RIKEN cDNA A630077B13 gene,MGI:2443082,chr10,1,0
ND,A730018C14Rik,RIKEN cDNA A730018C14 gene,MGI:2442339,chr12,0,1
ND,A830006F12Rik,RIKEN cDNA A830006F12 gene,MGI:2444069,chr1,0,1
ND,A830018L16Rik,RIKEN cDNA A830018L16 gene,MGI:2444149,chr1,0,1
ND,A830080D01Rik,RIKEN cDNA A830080D01 gene,MGI:2685992,chrX,1,0
ND,A930001N09Rik,RIKEN cDNA A930001N09 gene,MGI:1924378,chr17,1,0
ND,A930005I04Rik,RIKEN cDNA A930005I04 gene,MGI:2684990,chr5,1,0
ND,A930008G19Rik,RIKEN cDNA A930008G19 gene,MGI:1925188,chr7,3,0
ND,A930016P21Rik,RIKEN cDNA A930016P21 gene,MGI:1915323,chr15,0,1
ND,A930038C07Rik,RIKEN cDNA A930038C07 gene,MGI:1915419,chr6,0,1
ND,AA408296,expressed sequence AA408296,MGI:2138080,chr1,1,1
ND,AA467197,expressed sequence AA467197,MGI:3034182,chr2,1,0
ND,AA536749,expressed sequence AA536749,MGI:1349438,chr11,1,0
Evi29,AA881470 ,EST AA881470,MGI:1891679 ,chr5,6,0
Evi29, Iqce,EST IQ motif containing E,MGI:1921489,chr5,6,0
ND,Aadat,aminoadipate aminotransferase,MGI:1345167,chr8,0,1
ND,Aard,alanine and arginine rich domain containing protein,MGI:2181621,chr15,0,1
ND,Aass,aminoadipate-semialdehyde synthase,MGI:1353573,chr6,0,1
Casvis4,Aatk,apoptosis-associated tyrosine kinase,MGI:1197518,chr11,1,0
